Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2016-100090;08/07/2016;12/07/2016;Standard Class;EB-13705;Ed Braxton;Corporate;US;San Fran~cis~co;California;94122;West;FUR-TA-10003715;502.488;3;0.2;-87.9354;Anna Andreadi
CA-2016-100090;08/07/2016;12/07/2016;Standard Class;EB-13705;Ed Braxton;Corporate;US;San Fran~cis~co;California;94122;West;OFF-BI-10001597;196.704;6;0.2;68.8464;Anna Andreadi
CA-2016-100860;26/03/2016;30/03/2016;Second Class;CS-12505;Cindy Stewart;Consumer;US;Pomona;California;91767;West;OFF-LA-10001982;18.75;5;0;9;Anna Andreadi
CA-2016-100867;19/10/2016;24/10/2016;Standard Class;EH-14125;Eugene Hildebrand;Home Office;US;Lakewood;California;90712;West;TEC-PH-10004922;321.552;6;0.2;20.097;Anna Andreadi
CA-2016-101462;20/04/2016;25/04/2016;Standard Class;BP-11230;Benjamin Patterson;Consumer;US;Los Angeles;California;90045;West;FUR-FU-10000409;59.92;4;0;27.5632;Anna Andreadi
CA-2016-101931;28/10/2016;31/10/2016;First Class;TS-21370;Todd Sumrall;Corporate;US;Los Angeles;California;90049;West;OFF-BI-10004140;7.184;2;0.2;2.245;Anna Andreadi
CA-2016-101931;28/10/2016;31/10/2016;First Class;TS-21370;Todd Sumrall;Corporate;US;Los Angeles;California;90049;West;OFF-SU-10002301;6.28;2;0;0.0628;Anna Andreadi
CA-2016-101931;28/10/2016;31/10/2016;First Class;TS-21370;Todd Sumrall;Corporate;US;Los Angeles;California;90049;West;OFF-SU-10000646;480.74;2;0;14.4222;Anna Andreadi
CA-2016-101931;28/10/2016;31/10/2016;First Class;TS-21370;Todd Sumrall;Corporate;US;Los Angeles;California;90049;West;FUR-BO-10001337;616.998;6;0.15;-36.294;Anna Andreadi
CA-2016-101931;28/10/2016;31/10/2016;First Class;TS-21370;Todd Sumrall;Corporate;US;Los Angeles;California;90049;West;OFF-ST-10003442;141.4;5;0;38.178;Anna Andreadi
CA-2016-102295;24/11/2016;26/11/2016;Second Class;EH-13990;Erica Hackney;Consumer;US;Sa~cramento;California;95823;West;FUR-CH-10001714;120.712;1;0.2;-18.1068;Anna Andreadi
CA-2016-102330;29/12/2016;03/01/2017;Standard Class;AI-10855;Arianne Irving;Consumer;US;Brentwood;California;94513;West;OFF-LA-10003923;88.8;6;0;44.4;Anna Andreadi
CA-2016-102330;29/12/2016;03/01/2017;Standard Class;AI-10855;Arianne Irving;Consumer;US;Brentwood;California;94513;West;TEC-PH-10001051;319.968;4;0.2;35.9964;Anna Andreadi
CA-2016-102652;06/04/2016;12/04/2016;Standard Class;AY-10555;Andy Yotov;Corporate;US;Los Angeles;California;90049;West;FUR-FU-10000747;91.96;2;0;15.6332;Anna Andreadi
CA-2016-102652;06/04/2016;12/04/2016;Standard Class;AY-10555;Andy Yotov;Corporate;US;Los Angeles;California;90049;West;FUR-FU-10001918;33.11;7;0;12.9129;Anna Andreadi
CA-2016-102652;06/04/2016;12/04/2016;Standard Class;AY-10555;Andy Yotov;Corporate;US;Los Angeles;California;90049;West;OFF-PA-10003309;19.44;3;0;9.3312;Anna Andreadi
CA-2016-102652;06/04/2016;12/04/2016;Standard Class;AY-10555;Andy Yotov;Corporate;US;Los Angeles;California;90049;West;OFF-PA-10001977;55.48;1;0;26.6304;Anna Andreadi
CA-2016-103310;10/05/2016;15/05/2016;Standard Class;GM-14680;Greg Matthias;Consumer;US;San Jose;California;95123;West;OFF-PA-10004353;39.96;2;0;19.1808;Anna Andreadi
CA-2016-103310;10/05/2016;15/05/2016;Standard Class;GM-14680;Greg Matthias;Consumer;US;San Jose;California;95123;West;TEC-PH-10001817;1432;5;0.2;125.3;Anna Andreadi
CA-2016-103310;10/05/2016;15/05/2016;Standard Class;GM-14680;Greg Matthias;Consumer;US;San Jose;California;95123;West;OFF-SU-10004737;41.04;6;0;11.0808;Anna Andreadi
CA-2016-103310;10/05/2016;15/05/2016;Standard Class;GM-14680;Greg Matthias;Consumer;US;San Jose;California;95123;West;FUR-CH-10002320;256.784;1;0.2;32.098;Anna Andreadi
CA-2016-103401;21/11/2016;26/11/2016;Standard Class;GR-14560;Georgia Rosenberg;Corporate;US;San Fran~cis~co;California;94110;West;OFF-PA-10003309;12.96;2;0;6.2208;Anna Andreadi
CA-2016-104178;25/08/2016;29/08/2016;Standard Class;JM-15265;Janet Molinari;Corporate;US;Los Angeles;California;90036;West;FUR-FU-10000771;6.28;1;0;2.6376;Anna Andreadi
CA-2016-104178;25/08/2016;29/08/2016;Standard Class;JM-15265;Janet Molinari;Corporate;US;Los Angeles;California;90036;West;TEC-AC-10002399;95.1;5;0;30.432;Anna Andreadi
CA-2016-104178;25/08/2016;29/08/2016;Standard Class;JM-15265;Janet Molinari;Corporate;US;Los Angeles;California;90036;West;OFF-PA-10004983;25.92;4;0;12.4416;Anna Andreadi
