Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;Returned;Person
6569;CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095.0;Central;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;2.688;2.0;0.2;1.008;;Kelly Williams
6570;CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095.0;Central;FUR-CH-10002602;Furniture;Chairs;DMI Arturo Collection Mission-style Design Wood Chair;317.058;3.0;0.3;-18.1176;;Kelly Williams
6571;CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095.0;Central;OFF-EN-10000056;Office Supplies;Envelopes;Cameo Buff Policy Envelopes;149.352;3.0;0.2;50.4063;;Kelly Williams
6572;CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095.0;Central;TEC-AC-10000474;Technology;Accessories;Kensington Expert Mouse Optical USB Trackball for PC or Mac;227.976;3.0;0.2;28.497;;Kelly Williams
6315;CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201.0;Central;OFF-AR-10000380;Office Supplies;Art;Hunt PowerHouse Electric Pencil Sharpener, Blue;151.92;4.0;0.0;45.576;Yes;Kelly Williams
6316;CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201.0;Central;OFF-LA-10003930;Office Supplies;Labels;Dot Matrix Printer Tape Reel Labels, White, 5000/Box;196.62;2.0;0.0;96.3438;Yes;Kelly Williams
6317;CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201.0;Central;OFF-PA-10001815;Office Supplies;Paper;Xerox 1885;144.12;3.0;0.0;69.1776;Yes;Kelly Williams
6318;CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201.0;Central;OFF-PA-10004082;Office Supplies;Paper;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;15.96;2.0;0.0;7.98;Yes;Kelly Williams
6252;CA-2016-101147;02/12/2016;04/12/2016;First Class;MC-17575;Matt Collins;Consumer;United States;Chicago;Illinois;60623.0;Central;OFF-AP-10004249;Office Supplies;Appliances;Staple holder;2.394;1.0;0.8;-6.3441;;Kelly Williams
1575;CA-2016-101602;15/12/2016;18/12/2016;First Class;MC-18100;Mick Crebagga;Consumer;United States;El Paso;Texas;79907.0;Central;TEC-PH-10000169;Technology;Phones;ARKON Windshield Dashboard Air Vent Car Mount Holder;40.68;3.0;0.2;-9.153;;Kelly Williams
1576;CA-2016-101602;15/12/2016;18/12/2016;First Class;MC-18100;Mick Crebagga;Consumer;United States;El Paso;Texas;79907.0;Central;FUR-CH-10004675;Furniture;Chairs;Lifetime Advantage Folding Chairs, 4/Carton;763.28;5.0;0.3;-21.808;;Kelly Williams
9558;CA-2016-103086;17/10/2016;19/10/2016;Second Class;EB-14170;Evan Bailliet;Consumer;United States;Houston;Texas;77095.0;Central;FUR-FU-10004586;Furniture;Furnishings;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;5.312;2.0;0.6;-1.5936;;Kelly Williams
4283;CA-2016-103100;20/12/2016;23/12/2016;First Class;AB-10105;Adrian Barton;Consumer;United States;Indianapolis;Indiana;46203.0;Central;OFF-LA-10003720;Office Supplies;Labels;Avery 487;3.69;1.0;0.0;1.7343;;Kelly Williams
4284;CA-2016-103100;20/12/2016;23/12/2016;First Class;AB-10105;Adrian Barton;Consumer;United States;Indianapolis;Indiana;46203.0;Central;OFF-BI-10004600;Office Supplies;Binders;Ibico Ibimaster 300 Manual Binding System;1103.97;3.0;0.0;496.7865;;Kelly Williams
5725;CA-2016-103191;22/09/2016;27/09/2016;Standard Class;VG-21805;Vivek Grady;Corporate;United States;Chicago;Illinois;60653.0;Central;OFF-ST-10002574;Office Supplies;Storage;SAFCO Commercial Wire Shelving, Black;331.536;3.0;0.2;-82.884;;Kelly Williams
