Order_ID		Order_Date		Ship_Date		Ship_Mode		Customer_ID		Customer_Name		Segment		Country		City		State		Postal_Code		Region		Product_ID		Sales		Quantity		Discount		Profit		Person
CA-2016-100006		07/09/2016		13/09/2016		Standard Class		DK-13375		Dennis Kane		Consumer		United States		New York City		New York		10024		East		TEC-PH-10002075		377.97		3		0		109.6113		Chuck Magee
CA-2016-100328		28/01/2016		03/02/2016		Standard Class		JC-15340		Jasper Cacioppo		Consumer		United States		New York City		New York		10024		East		OFF-BI-10000343		3.928		1		0.2		1.3257		Chuck Magee
CA-2016-100391		25/05/2016		29/05/2016		Standard Class		BW-11065		Barry Weirich		Consumer		United States		New York City		New York		10035		East		OFF-PA-10001471		14.62		2		0		6.7252		Chuck Magee
CA-2016-101364		22/12/2016		26/12/2016		Standard Class		TW-21025		Tamara Willingham		Home Office		United States		New York City		New York		10011		East		OFF-BI-10003984		296.712		13		0.2		100.1403		Chuck Magee
CA-2016-101427		26/12/2016		30/12/2016		Standard Class		AY-10555		Andy Yotov		Corporate		United States		Philadelphia		Pennsylvania		19140		East		OFF-AR-10002257		8.016		3		0.2		1.1022		Chuck Magee
CA-2016-101476		12/09/2016		13/09/2016		First Class		SD-20485		Shirley Daniels		Home Office		United States		New Rochelle		New York		10801		East		TEC-MA-10000029		69.99		1		0		30.0957		Chuck Magee
CA-2016-101833		17/11/2016		22/11/2016		Second Class		FG-14260		Frank Gastineau		Home Office		United States		New York City		New York		10024		East		OFF-PA-10003591		34.44		3		0		17.22		Chuck Magee
CA-2016-102008		30/09/2016		04/10/2016		Standard Class		RA-19915		Russell Applegate		Consumer		United States		New York City		New York		10011		East		OFF-PA-10004092		48.94		1		0		24.47		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		OFF-PA-10000788		15.552		3		0.2		5.4432		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		TEC-AC-10002134		64.704		6		0.2		-4.8528		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		FUR-FU-10002456		17.472		3		0.2		5.0232		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		TEC-PH-10002549		135.516		1		0.4		-31.6204		Chuck Magee
CA-2016-103058		23/07/2016		24/07/2016		First Class		AG-10270		Alejandro Grove		Consumer		United States		New York City		New York		10011		East		TEC-AC-10001314		99.98		2		0		7.9984		Chuck Magee
CA-2016-103219		09/11/2016		13/11/2016		Standard Class		BF-11215		Benjamin Farhat		Home Office		United States		New York City		New York		10035		East		FUR-FU-10004091		56.52		9		0		21.4776		Chuck Magee
CA-2016-103331		26/08/2016		01/09/2016		Standard Class		KB-16315		Karl Braun		Consumer		United States		Newark		Delaware		19711		East		FUR-FU-10001731		10.68		4		0		4.0584		Chuck Magee
CA-2016-103331		26/08/2016		01/09/2016		Standard Class		KB-16315		Karl Braun		Consumer		United States		Newark		Delaware		19711		East		OFF-PA-10002160		17.34		3		0		8.4966		Chuck Magee
CA-2016-103331		26/08/2016		01/09/2016		Standard Class		KB-16315		Karl Braun		Consumer		United States		Newark		Delaware		19711		East		OFF-PA-10002659		3.38		1		0		1.5548		Chuck Magee
CA-2016-103429		30/05/2016		01/06/2016		First Class		LW-16825		Laurel Workman		Corporate		United States		New York City		New York		10024		East		OFF-BI-10004233		25.584		2		0.2		8.9544		Chuck Magee
CA-2016-103429		30/05/2016		01/06/2016		First Class		LW-16825		Laurel Workman		Corporate		United States		New York City		New York		10024		East		TEC-PH-10003505		464		5		0		134.56		Chuck Magee
CA-2016-103429		30/05/2016		01/06/2016		First Class		LW-16825		Laurel Workman		Corporate		United States		New York City		New York		10024		East		OFF-AP-10001005		235.95		3		0		77.8635		Chuck Magee
CA-2016-103429		30/05/2016		01/06/2016		First Class		LW-16825		Laurel Workman		Corporate		United States		New York City		New York		10024		East		OFF-PA-10001712		39.96		4		0		17.982		Chuck Magee
CA-2016-103590		30/11/2016		04/12/2016		Standard Class		JL-15505		Jeremy Lonsdale		Consumer		United States		Mount Vernon		New York		10550		East		OFF-EN-10004007		62.28		4		0		29.2716		Chuck Magee
CA-2016-103702		12/09/2016		17/09/2016		Standard Class		AF-10885		Art Foster		Consumer		United States		Fairfield		Ohio		45014		East		OFF-BI-10002429		63.924		7		0.7		-46.8776		Chuck Magee
CA-2016-104402		17/06/2016		23/06/2016		Standard Class		DB-13660		Duane Benoit		Consumer		United States		Newark		Delaware		19711		East		TEC-MA-10000423		65.97		3		0		31.0059		Chuck Magee
CA-2016-105872		30/05/2016		06/06/2016		Standard Class		JG-15160		James Galang		Consumer		United States		New York City		New York		10024		East		OFF-BI-10003684		70.368		4		0.2		26.388		Chuck Magee
CA-2016-105984		24/11/2016		24/11/2016		Same Day		MY-18295		Muhammed Yedwab		Corporate		United States		Columbus		Ohio		43229		East		TEC-PH-10000560		1049.97		5		0.4		-209.994		Chuck Magee
CA-2016-105984		24/11/2016		24/11/2016		Same Day		MY-18295		Muhammed Yedwab		Corporate		United States		Columbus		Ohio		43229		East		FUR-CH-10000847		611.058		3		0.3		-34.9176		Chuck Magee
CA-2016-106572		05/09/2016		10/09/2016		Standard Class		NP-18700		Nora Preis		Consumer		United States		Bowling Green		Ohio		43402		East		OFF-ST-10000585		264.32		2		0.2		19.824		Chuck Magee
CA-2016-107153		28/09/2016		03/10/2016		Standard Class		GZ-14545		George Zrebassa		Corporate		United States		Lawrence		Massachusetts		1841		East		OFF-ST-10001321		46.26		3		0		12.4902		Chuck Magee
CA-2016-107398		25/08/2016		30/08/2016		Standard Class		BS-11590		Brendan Sweed		Corporate		United States		Columbus		Ohio		43229		East		OFF-BI-10001982		6.528		4		0.7		-4.5696		Chuck Magee
CA-2016-107398		25/08/2016		30/08/2016		Standard Class		BS-11590		Brendan Sweed		Corporate		United States		Columbus		Ohio		43229		East		OFF-BI-10004141		2.862		3		0.7		-2.2896		Chuck Magee
CA-2016-107398		25/08/2016		30/08/2016		Standard Class		BS-11590		Brendan Sweed		Corporate		United States		Columbus		Ohio		43229		East		OFF-BI-10002103		20.856		8		0.7		-16.6848		Chuck Magee
CA-2016-107454		02/11/2016		06/11/2016		Standard Class		RD-19720		Roger Demir		Consumer		United States		New York City		New York		10024		East		OFF-LA-10001569		34.86		7		0		16.0356		Chuck Magee
CA-2016-107454		02/11/2016		06/11/2016		Standard Class		RD-19720		Roger Demir		Consumer		United States		New York City		New York		10024		East		FUR-FU-10004018		89.34		6		0		24.1218		Chuck Magee
CA-2016-107524		02/03/2016		08/03/2016		Standard Class		KN-16705		Kristina Nunn		Home Office		United States		New York City		New York		10009		East		OFF-EN-10001990		11.36		2		0		5.3392		Chuck Magee
CA-2016-107524		02/03/2016		08/03/2016		Standard Class		KN-16705		Kristina Nunn		Home Office		United States		New York City		New York		10009		East		OFF-PA-10000587		36.4		5		0		17.472		Chuck Magee
CA-2016-107594		02/07/2016		06/07/2016		Standard Class		EH-13945		Eric Hoffmann		Consumer		United States		Plainfield		New Jersey		7060		East		TEC-PH-10002923		73.98		2		0		19.9746		Chuck Magee
CA-2016-107594		02/07/2016		06/07/2016		Standard Class		EH-13945		Eric Hoffmann		Consumer		United States		Plainfield		New Jersey		7060		East		OFF-AR-10000716		5.58		1		0		2.1762		Chuck Magee
CA-2016-107755		07/02/2016		12/02/2016		Standard Class		CK-12760		Cyma Kinney		Corporate		United States		Linden		New Jersey		7036		East		TEC-AC-10000710		115.36		7		0		49.6048		Chuck Magee
CA-2016-107916		24/08/2016		26/08/2016		First Class		JP-15460		Jennifer Patt		Corporate		United States		Oceanside		New York		11572		East		FUR-FU-10004586		13.28		2		0		6.3744		Chuck Magee
CA-2016-107916		24/08/2016		26/08/2016		First Class		JP-15460		Jennifer Patt		Corporate		United States		Oceanside		New York		11572		East		OFF-BI-10001116		12.672		3		0.2		4.4352		Chuck Magee
CA-2016-108147		08/06/2016		13/06/2016		Standard Class		RD-19480		Rick Duston		Consumer		United States		Long Beach		New York		11561		East		OFF-BI-10003876		68.48		2		0.2		25.68		Chuck Magee
CA-2016-108147		08/06/2016		13/06/2016		Standard Class		RD-19480		Rick Duston		Consumer		United States		Long Beach		New York		11561		East		OFF-ST-10003470		1676.88		6		0		83.844		Chuck Magee
CA-2016-108609		31/10/2016		02/11/2016		Second Class		AJ-10780		Anthony Jacobs		Corporate		United States		Lorain		Ohio		44052		East		FUR-TA-10003954		1421.664		8		0.4		-734.5264		Chuck Magee
CA-2016-108903		03/10/2016		03/10/2016		Same Day		DO-13435		Denny Ordway		Consumer		United States		Columbus		Ohio		43229		East		OFF-AR-10004010		55.984		2		0.2		4.1988		Chuck Magee
CA-2016-108903		03/10/2016		03/10/2016		Same Day		DO-13435		Denny Ordway		Consumer		United States		Columbus		Ohio		43229		East		OFF-EN-10004030		14.48		5		0.2		4.887		Chuck Magee
CA-2016-108903		03/10/2016		03/10/2016		Same Day		DO-13435		Denny Ordway		Consumer		United States		Columbus		Ohio		43229		East		TEC-AC-10003023		142.488		3		0.2		-3.5622		Chuck Magee
CA-2016-109127		21/12/2016		25/12/2016		Standard Class		JC-15775		John Castell		Consumer		United States		Newark		Delaware		19711		East		OFF-LA-10004409		17.28		6		0		7.9488		Chuck Magee
CA-2016-109302		12/08/2016		16/08/2016		Standard Class		CS-12175		Charles Sheldon		Corporate		United States		Lakewood		New Jersey		8701		East		OFF-BI-10002854		196.21		7		0		98.105		Chuck Magee
CA-2016-109855		01/09/2016		05/09/2016		Standard Class		LH-16900		Lena Hernandez		Consumer		United States		New York City		New York		10009		East		OFF-BI-10004716		23.744		2		0.2		8.3104		Chuck Magee
CA-2016-109855		01/09/2016		05/09/2016		Standard Class		LH-16900		Lena Hernandez		Consumer		United States		New York City		New York		10009		East		TEC-AC-10002842		357		3		0		57.12		Chuck Magee
CA-2016-109904		14/07/2016		17/07/2016		Second Class		BF-10975		Barbara Fisher		Corporate		United States		New York City		New York		10009		East		OFF-AR-10004999		17.94		3		0		4.485		Chuck Magee
CA-2016-110065		05/08/2016		11/08/2016		Standard Class		SP-20650		Stephanie Phelps		Corporate		United States		New York City		New York		10009		East		TEC-PH-10002468		135.99		1		0		36.7173		Chuck Magee
CA-2016-110065		05/08/2016		11/08/2016		Standard Class		SP-20650		Stephanie Phelps		Corporate		United States		New York City		New York		10009		East		OFF-AR-10004165		15.96		7		0		7.0224		Chuck Magee
CA-2016-110072		22/10/2016		28/10/2016		Standard Class		MG-17680		Maureen Gastineau		Home Office		United States		Newark		Ohio		43055		East		FUR-FU-10000521		93.888		4		0.2		12.9096		Chuck Magee
CA-2016-110611		06/10/2016		13/10/2016		Standard Class		JD-16015		Joy Daniels		Consumer		United States		Philadelphia		Pennsylvania		19120		East		OFF-ST-10000642		83.92		5		0.2		-13.637		Chuck Magee
CA-2016-110639		23/08/2016		23/08/2016		Same Day		RH-19495		Rick Hansen		Consumer		United States		New York City		New York		10009		East		OFF-PA-10003936		25.92		4		0		12.4416		Chuck Magee
CA-2016-110639		23/08/2016		23/08/2016		Same Day		RH-19495		Rick Hansen		Consumer		United States		New York City		New York		10009		East		OFF-PA-10004530		45.92		4		0		22.5008		Chuck Magee
CA-2016-111003		01/06/2016		06/06/2016		Standard Class		CR-12625		Corey Roper		Home Office		United States		Lakewood		New Jersey		8701		East		OFF-BI-10001072		45.48		3		0		20.9208		Chuck Magee
CA-2016-111003		01/06/2016		06/06/2016		Standard Class		CR-12625		Corey Roper		Home Office		United States		Lakewood		New Jersey		8701		East		OFF-AR-10002135		289.2		6		0		83.868		Chuck Magee
CA-2016-111157		02/03/2016		06/03/2016		Standard Class		NH-18610		Nicole Hansen		Corporate		United States		Philadelphia		Pennsylvania		19120		East		OFF-PA-10000327		3.424		1		0.2		1.07		Chuck Magee
CA-2016-111157		02/03/2016		06/03/2016		Standard Class		NH-18610		Nicole Hansen		Corporate		United States		Philadelphia		Pennsylvania		19120		East		TEC-AC-10004353		151.2		3		0.2		32.13		Chuck Magee
CA-2016-111360		24/11/2016		30/11/2016		Standard Class		AT-10435		Alyssa Tate		Home Office		United States		Akron		Ohio		44312		East		OFF-BI-10003350		5.742		3		0.7		-4.5936		Chuck Magee
CA-2016-111773		29/06/2016		03/07/2016		Standard Class		JK-15625		Jim Karlsson		Consumer		United States		New York City		New York		10024		East		OFF-BI-10000174		13.92		3		0.2		4.872		Chuck Magee
CA-2016-112158		02/12/2016		04/12/2016		First Class		DP-13165		David Philippe		Consumer		United States		New York City		New York		10035		East		TEC-AC-10003628		119.96		4		0		52.7824		Chuck Magee
CA-2016-112158		02/12/2016		04/12/2016		First Class		DP-13165		David Philippe		Consumer		United States		New York City		New York		10035		East		FUR-BO-10003272		883.92		5		0.2		-110.49		Chuck Magee
CA-2016-112158		02/12/2016		04/12/2016		First Class		DP-13165		David Philippe		Consumer		United States		New York City		New York		10035		East		OFF-BI-10000050		46.72		8		0.2		15.768		Chuck Magee
CA-2016-113362		14/09/2016		19/09/2016		Standard Class		AJ-10960		Astrea Jones		Consumer		United States		Rochester		New York		14609		East		OFF-ST-10001809		449.15		5		0		8.983		Chuck Magee
CA-2016-113362		14/09/2016		19/09/2016		Standard Class		AJ-10960		Astrea Jones		Consumer		United States		Rochester		New York		14609		East		OFF-EN-10003845		11.07		3		0		5.0922		Chuck Magee
CA-2016-113383		10/09/2016		13/09/2016		First Class		SF-20065		Sandra Flanagan		Consumer		United States		Clifton		New Jersey		7011		East		OFF-AP-10004532		81.92		4		0		22.1184		Chuck Magee
CA-2016-113383		10/09/2016		13/09/2016		First Class		SF-20065		Sandra Flanagan		Consumer		United States		Clifton		New Jersey		7011		East		FUR-FU-10001986		254.9		5		0		76.47		Chuck Magee
CA-2016-113887		05/04/2016		07/04/2016		First Class		TH-21550		Tracy Hopkins		Home Office		United States		New York City		New York		10035		East		OFF-PA-10004071		55.48		1		0		26.6304		Chuck Magee
CA-2016-113929		16/06/2016		21/06/2016		Standard Class		CK-12205		Chloris Kastensmidt		Consumer		United States		Hempstead		New York		11550		East		OFF-EN-10003286		41.4		5		0		19.458		Chuck Magee
CA-2016-113929		16/06/2016		21/06/2016		Standard Class		CK-12205		Chloris Kastensmidt		Consumer		United States		Hempstead		New York		11550		East		OFF-AR-10003772		35		4		0		10.5		Chuck Magee
CA-2016-113929		16/06/2016		21/06/2016		Standard Class		CK-12205		Chloris Kastensmidt		Consumer		United States		Hempstead		New York		11550		East		OFF-BI-10002852		39.552		3		0.2		14.3376		Chuck Magee
CA-2016-113964		23/09/2016		30/09/2016		Standard Class		JP-16135		Julie Prescott		Home Office		United States		New York City		New York		10011		East		OFF-BI-10004654		18.464		4		0.2		6.924		Chuck Magee
CA-2016-114181		10/05/2016		14/05/2016		Second Class		AF-10885		Art Foster		Consumer		United States		Philadelphia		Pennsylvania		19134		East		FUR-BO-10004467		349.965		7		0.5		-216.9783		Chuck Magee
CA-2016-114181		10/05/2016		14/05/2016		Second Class		AF-10885		Art Foster		Consumer		United States		Philadelphia		Pennsylvania		19134		East		OFF-AR-10000716		22.32		5		0.2		5.301		Chuck Magee
CA-2016-114195		01/11/2016		03/11/2016		First Class		EA-14035		Erin Ashbrook		Corporate		United States		Mason		Ohio		45040		East		FUR-FU-10002253		68.704		2		0.2		16.3172		Chuck Magee
CA-2016-114195		01/11/2016		03/11/2016		First Class		EA-14035		Erin Ashbrook		Corporate		United States		Mason		Ohio		45040		East		OFF-BI-10000494		3.132		2		0.7		-2.61		Chuck Magee
CA-2016-114195		01/11/2016		03/11/2016		First Class		EA-14035		Erin Ashbrook		Corporate		United States		Mason		Ohio		45040		East		OFF-BI-10001658		22.428		3		0.7		-17.9424		Chuck Magee
CA-2016-114251		05/11/2016		10/11/2016		Standard Class		MD-17350		Maribeth Dona		Consumer		United States		Philadelphia		Pennsylvania		19143		East		FUR-FU-10001468		273.568		2		0.2		-34.196		Chuck Magee
CA-2016-114251		05/11/2016		10/11/2016		Standard Class		MD-17350		Maribeth Dona		Consumer		United States		Philadelphia		Pennsylvania		19143		East		OFF-BI-10003684		13.194		2		0.7		-8.796		Chuck Magee
CA-2016-114251		05/11/2016		10/11/2016		Standard Class		MD-17350		Maribeth Dona		Consumer		United States		Philadelphia		Pennsylvania		19143		East		OFF-ST-10003716		1080.096		6		0.2		-94.5084		Chuck Magee
CA-2016-114251		05/11/2016		10/11/2016		Standard Class		MD-17350		Maribeth Dona		Consumer		United States		Philadelphia		Pennsylvania		19143		East		TEC-AC-10001101		51.56		5		0.2		-6.445		Chuck Magee
CA-2016-114251		05/11/2016		10/11/2016		Standard Class		MD-17350		Maribeth Dona		Consumer		United States		Philadelphia		Pennsylvania		19143		East		TEC-AC-10004864		58.416		2		0.2		16.7946		Chuck Magee
CA-2016-114517		23/12/2016		27/12/2016		Standard Class		TH-21235		Tiffany House		Corporate		United States		New York City		New York		10024		East		FUR-TA-10001676		53.316		2		0.4		-19.5492		Chuck Magee
CA-2016-114517		23/12/2016		27/12/2016		Standard Class		TH-21235		Tiffany House		Corporate		United States		New York City		New York		10024		East		OFF-AP-10002350		56.52		3		0		15.8256		Chuck Magee
CA-2016-115056		02/05/2016		02/05/2016		Same Day		AR-10510		Andrew Roberts		Consumer		United States		Columbus		Ohio		43229		East		OFF-AP-10003971		26.136		3		0.2		1.9602		Chuck Magee
CA-2016-115133		26/09/2016		30/09/2016		Standard Class		DA-13450		Dianna Arnett		Home Office		United States		Lancaster		Ohio		43130		East		OFF-AP-10001634		16.704		6		0.2		1.2528		Chuck Magee
CA-2016-115133		26/09/2016		30/09/2016		Standard Class		DA-13450		Dianna Arnett		Home Office		United States		Lancaster		Ohio		43130		East		TEC-AC-10002370		3.152		2		0.2		0.4728		Chuck Magee
CA-2016-115133		26/09/2016		30/09/2016		Standard Class		DA-13450		Dianna Arnett		Home Office		United States		Lancaster		Ohio		43130		East		OFF-PA-10000174		32.896		4		0.2		11.1024		Chuck Magee
CA-2016-115259		25/08/2016		27/08/2016		Second Class		RC-19960		Ryan Crowe		Consumer		United States		Columbus		Ohio		43229		East		OFF-FA-10000621		40.096		14		0.2		14.5348		Chuck Magee
CA-2016-115259		25/08/2016		27/08/2016		Second Class		RC-19960		Ryan Crowe		Consumer		United States		Columbus		Ohio		43229		East		OFF-EN-10002600		4.72		2		0.2		1.652		Chuck Magee
CA-2016-115259		25/08/2016		27/08/2016		Second Class		RC-19960		Ryan Crowe		Consumer		United States		Columbus		Ohio		43229		East		OFF-PA-10004965		23.976		3		0.2		7.4925		Chuck Magee
CA-2016-115259		25/08/2016		27/08/2016		Second Class		RC-19960		Ryan Crowe		Consumer		United States		Columbus		Ohio		43229		East		OFF-EN-10002504		130.464		6		0.2		44.0316		Chuck Magee
CA-2016-115791		16/01/2016		18/01/2016		Second Class		DL-13315		Delfina Latchford		Consumer		United States		Philadelphia		Pennsylvania		19134		East		FUR-FU-10001095		127.104		6		0.2		28.5984		Chuck Magee
CA-2016-115791		16/01/2016		18/01/2016		Second Class		DL-13315		Delfina Latchford		Consumer		United States		Philadelphia		Pennsylvania		19134		East		TEC-PH-10004614		124.2		3		0.4		-31.05		Chuck Magee
CA-2016-115791		16/01/2016		18/01/2016		Second Class		DL-13315		Delfina Latchford		Consumer		United States		Philadelphia		Pennsylvania		19134		East		OFF-BI-10001575		18.588		2		0.7		-13.6312		Chuck Magee
CA-2016-115791		16/01/2016		18/01/2016		Second Class		DL-13315		Delfina Latchford		Consumer		United States		Philadelphia		Pennsylvania		19134		East		OFF-LA-10001074		30.072		3		0.2		10.1493		Chuck Magee
CA-2016-115973		24/11/2016		26/11/2016		First Class		NG-18430		Nathan Gelder		Consumer		United States		Cincinnati		Ohio		45231		East		OFF-AR-10004757		2.624		1		0.2		0.4264		Chuck Magee
CA-2016-116246		12/09/2016		17/09/2016		Second Class		LW-17215		Luke Weiss		Consumer		United States		New York City		New York		10035		East		FUR-CH-10002024		3785.292		6		0.1		420.588		Chuck Magee
CA-2016-116666		08/05/2016		10/05/2016		First Class		KT-16480		Kean Thornton		Consumer		United States		Philadelphia		Pennsylvania		19134		East		TEC-CO-10001449		1799.97		5		0.4		239.996		Chuck Magee
CA-2016-117429		07/10/2016		13/10/2016		Standard Class		MR-17545		Mathew Reese		Home Office		United States		Philadelphia		Pennsylvania		19140		East		FUR-FU-10000222		129.92		5		0.2		21.112		Chuck Magee
CA-2016-117478		21/09/2016		24/09/2016		First Class		LH-16750		Larry Hughes		Consumer		United States		Philadelphia		Pennsylvania		19140		East		OFF-BI-10000050		6.57		3		0.7		-5.037		Chuck Magee
CA-2016-118192		13/01/2016		18/01/2016		Standard Class		MM-17920		Michael Moore		Consumer		United States		Newark		Ohio		43055		East		OFF-PA-10002947		37.408		7		0.2		13.0928		Chuck Magee
CA-2016-118192		13/01/2016		18/01/2016		Standard Class		MM-17920		Michael Moore		Consumer		United States		Newark		Ohio		43055		East		OFF-BI-10003476		3.438		2		0.7		-2.5212		Chuck Magee
CA-2016-118304		29/04/2016		04/05/2016		Standard Class		KH-16360		Katherine Hughes		Consumer		United States		Dover		Delaware		19901		East		TEC-PH-10000376		19.98		2		0		5.1948		Chuck Magee
CA-2016-118976		28/04/2016		03/05/2016		Standard Class		MY-18295		Muhammed Yedwab		Corporate		United States		Baltimore		Maryland		21215		East		OFF-BI-10001628		20.86		2		0		9.387		Chuck Magee
CA-2016-118976		28/04/2016		03/05/2016		Standard Class		MY-18295		Muhammed Yedwab		Corporate		United States		Baltimore		Maryland		21215		East		OFF-ST-10000877		497.61		9		0		129.3786		Chuck Magee
CA-2016-118976		28/04/2016		03/05/2016		Standard Class		MY-18295		Muhammed Yedwab		Corporate		United States		Baltimore		Maryland		21215		East		OFF-AR-10004752		5.34		2		0		1.4952		Chuck Magee
CA-2016-118976		28/04/2016		03/05/2016		Standard Class		MY-18295		Muhammed Yedwab		Corporate		United States		Baltimore		Maryland		21215		East		OFF-LA-10000452		3.15		1		0		1.512		Chuck Magee
CA-2016-119032		27/11/2016		03/12/2016		Standard Class		MS-17770		Maxwell Schwartz		Consumer		United States		New York City		New York		10035		East		OFF-FA-10003021		3.76		2		0		1.316		Chuck Magee
CA-2016-119151		25/11/2016		29/11/2016		Second Class		MP-18175		Mike Pelletier		Home Office		United States		New York City		New York		10009		East		OFF-ST-10003470		1117.92		4		0		55.896		Chuck Magee
CA-2016-119151		25/11/2016		29/11/2016		Second Class		MP-18175		Mike Pelletier		Home Office		United States		New York City		New York		10009		East		FUR-BO-10003159		275.952		3		0.2		-37.9434		Chuck Magee
CA-2016-119375		17/11/2016		22/11/2016		Standard Class		YC-21895		Yoseph Carroll		Corporate		United States		Newark		Delaware		19711		East		OFF-ST-10002011		2934.33		7		0		792.2691		Chuck Magee
CA-2016-119375		17/11/2016		22/11/2016		Standard Class		YC-21895		Yoseph Carroll		Corporate		United States		Newark		Delaware		19711		East		FUR-FU-10002379		124.41		3		0		14.9292		Chuck Magee
